city,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,cloud,population,year,month,day,dayofweek
Magumeri,30.980000000000015,30.980000000000015,1011.0,16.0,1011.0,978.0,4.85,38.0,4.0,2003.0,2024.0,2.0,27.0,1.0
Omoku,24.83000000000004,24.83000000000004,1010.0,84.0,1010.0,1009.0,1.29,346.0,100.0,26616.0,2024.0,2.0,24.0,5.0
Soba,25.0,25.0,1012.0,10.0,1012.0,937.0,3.21,47.0,76.0,13261.0,2024.0,2.0,26.0,0.0
Akwanga,23.44,23.44,1012.0,40.0,1012.0,957.0,1.93,86.0,99.0,10132.0,2024.0,2.0,24.0,5.0
Ifira,25.33000000000004,25.33000000000004,1011.0,14.0,1011.0,946.0,2.39,30.0,100.0,2831.0,2024.0,2.0,26.0,0.0
Enugu-Ukwu,31.900000000000038,31.900000000000038,1009.0,41.0,1009.0,987.0,2.66,204.0,75.0,208304.0,2024.0,2.0,26.0,0.0
Rivers State,35.370000000000005,35.370000000000005,1007.0,42.0,1007.0,1006.0,1.99,319.0,100.0,152464.0,2024.0,2.0,23.0,4.0
Kachia,31.700000000000045,31.700000000000045,1012.0,16.0,1012.0,927.0,2.28,103.0,0.0,8046.0,2024.0,2.0,27.0,1.0
Shaffa,23.28000000000003,23.28000000000003,1013.0,42.0,1013.0,960.0,1.87,56.0,100.0,9670.0,2024.0,2.0,24.0,5.0
Uba,30.220000000000027,30.220000000000027,1012.0,19.0,1012.0,957.0,3.53,33.0,99.0,9911.0,2024.0,2.0,27.0,1.0
Biu,29.77000000000004,29.77000000000004,1011.0,12.0,1011.0,931.0,4.6,39.0,94.0,7609.0,2024.0,2.0,22.0,3.0
Suleja,22.680000000000007,22.680000000000007,1012.0,42.0,1012.0,951.0,1.19,78.0,100.0,8288.0,2024.0,2.0,24.0,5.0
Kachia,28.77000000000004,28.77000000000004,1011.0,38.0,1011.0,931.0,1.88,153.0,92.0,6724.0,2024.0,2.0,22.0,3.0
Degema,30.06,30.06,1009.0,70.0,1009.0,1008.0,2.71,281.0,98.0,15421.0,2024.0,2.0,22.0,3.0
Uba,34.75,34.75,1011.0,17.0,1011.0,953.0,4.64,9.0,100.0,9732.0,2024.0,2.0,25.0,6.0
Monguno,30.670000000000016,30.670000000000016,1011.0,17.0,1011.0,978.0,7.38,37.0,79.0,5066.0,2024.0,2.0,22.0,3.0
Shaffa,30.730000000000015,30.730000000000015,1012.0,20.0,1012.0,966.0,2.89,45.0,35.0,9834.0,2024.0,2.0,27.0,1.0
Obonoma,28.470000000000027,28.470000000000027,1010.0,82.0,1010.0,1009.0,5.48,220.0,15.0,4498.0,2024.0,2.0,26.0,0.0
Obonoma,25.5,25.5,1010.0,76.0,1010.0,1010.0,1.01,312.0,100.0,11026.0,2024.0,2.0,24.0,5.0
